,agegp,alcgp,tobgp,ncases,ncontrols
1,30,20,5.00,0,40
2,30,20,15.00,0,10
3,30,20,25.00,0,6
4,30,20,35.00,0,5
5,30,60,5.00,0,27
6,30,60,15.00,0,7
7,30,60,25.00,0,4
8,30,60,35.00,0,7
9,30,100,5.00,0,2
10,30,100,15.00,0,1
11,30,100,35.00,0,2
12,30,121,5.00,0,1
13,30,121,15.00,1,1
14,30,121,25.00,0,1
15,30,121,35.00,0,2
16,40,20,5.00,0,60
17,40,20,15.00,1,14
18,40,20,25.00,0,7
19,40,20,35.00,0,8
20,40,60,5.00,0,35
21,40,60,15.00,3,23
22,40,60,25.00,1,14
23,40,60,35.00,0,8
24,40,100,5.00,0,11
25,40,100,15.00,0,6
26,40,100,25.00,0,2
27,40,100,35.00,0,1
28,40,121,5.00,2,3
29,40,121,15.00,0,3
30,40,121,25.00,2,4
31,50,20,5.00,1,46
32,50,20,15.00,0,18
33,50,20,25.00,0,10
34,50,20,35.00,0,4
35,50,60,5.00,6,38
36,50,60,15.00,4,21
37,50,60,25.00,5,15
38,50,60,35.00,5,7
39,50,100,5.00,3,16
40,50,100,15.00,6,14
41,50,100,25.00,1,5
42,50,100,35.00,2,4
43,50,121,5.00,4,4
44,50,121,15.00,3,4
45,50,121,25.00,2,3
46,50,121,35.00,4,4
47,60,20,5.00,2,49
48,60,20,15.00,3,22
49,60,20,25.00,3,12
50,60,20,35.00,4,6
51,60,60,5.00,9,40
52,60,60,15.00,6,21
53,60,60,25.00,4,17
54,60,60,35.00,3,6
55,60,100,5.00,9,18
56,60,100,15.00,8,15
57,60,100,25.00,3,6
58,60,100,35.00,4,4
59,60,121,5.00,5,10
60,60,121,15.00,6,7
61,60,121,25.00,2,3
62,60,121,35.00,5,6
63,70,20,5.00,5,48
64,70,20,15.00,4,14
65,70,20,25.00,2,7
66,70,20,35.00,0,2
67,70,60,5.00,17,34
68,70,60,15.00,3,10
69,70,60,25.00,5,9
70,70,60,5.00,6,13
71,70,100,15.00,4,12
72,70,100,25.00,2,3
73,70,100,35.00,1,1
74,70,121,5.00,3,4
75,70,121,15.00,1,2
76,70,121,25.00,1,1
77,70,121,35.00,1,1
78,80,20,5.00,1,18
79,80,20,15.00,2,6
80,80,20,35.00,1,3
81,80,60,5.00,2,5
82,80,60,15.00,1,3
83,80,60,25.00,0,3
84,80,60,35.00,1,1
85,80,100,5.00,1,1
86,80,100,15.00,1,1
87,80,121,5.00,2,2
88,80,121,15.00,1,1